title,rank,date,artist,url,region,chart,trend,streams
Starboy,1,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Canada,top200,SAME_POSITION,139175
Closer,2,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Canada,top200,MOVE_UP,128481
Fake Love,3,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,Canada,top200,MOVE_DOWN,118532
Bad and Boujee (feat. Lil Uzi Vert),4,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,Canada,top200,SAME_POSITION,100524
One Dance,5,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Canada,top200,MOVE_UP,90257
Black Beatles,6,2017-01-01,"Rae Sremmurd, Gucci Mane",https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,Canada,top200,SAME_POSITION,90233
Let Me Love You,7,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Canada,top200,SAME_POSITION,89982
I Feel It Coming,8,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Canada,top200,SAME_POSITION,83442
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",9,2017-01-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Canada,top200,MOVE_DOWN,78503
Rockabye (feat. Sean Paul & Anne-Marie),10,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Canada,top200,SAME_POSITION,76004
Don't Wanna Know,11,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Canada,top200,SAME_POSITION,72533
24K Magic,12,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Canada,top200,MOVE_UP,71229
In the Name of Love,13,2017-01-01,"Martin Garrix, Bebe Rexha",https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,Canada,top200,MOVE_UP,68840
Bad Things (with Camila Cabello),14,2017-01-01,Machine Gun Kelly,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,Canada,top200,MOVE_DOWN,65690
Broccoli (feat. Lil Yachty),15,2017-01-01,Shelley FKA DRAM,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,Canada,top200,MOVE_UP,62975
Side To Side,16,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Canada,top200,MOVE_UP,62558
Call On Me - Ryan Riback Extended Remix,17,2017-01-01,Starley,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Canada,top200,MOVE_DOWN,61220
Cold Water (feat. Justin Bieber & MØ),18,2017-01-01,Major Lazer,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Canada,top200,MOVE_UP,60993
Starving,19,2017-01-01,"Hailee Steinfeld, Grey, Zedd",https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,Canada,top200,MOVE_DOWN,60245
Say You Won't Let Go,20,2017-01-01,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Canada,top200,MOVE_DOWN,59898
All We Know,21,2017-01-01,"The Chainsmokers, Phoebe Ryan",https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,Canada,top200,MOVE_UP,55174
The Greatest (feat. Kendrick Lamar),22,2017-01-01,Sia,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,Canada,top200,MOVE_UP,55032
Love Me Now,23,2017-01-01,John Legend,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,Canada,top200,MOVE_DOWN,54705
Party Monster,24,2017-01-01,The Weeknd,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,Canada,top200,MOVE_DOWN,54353
Too Good,25,2017-01-01,"Drake, Rihanna",https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,Canada,top200,MOVE_UP,54237
Don't Let Me Down (feat. Daya),26,2017-01-01,The Chainsmokers,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,Canada,top200,MOVE_UP,53173
Just Hold On,27,2017-01-01,"Steve Aoki, Louis Tomlinson",https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,Canada,top200,MOVE_DOWN,53023
Cheap Thrills,28,2017-01-01,Sia,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,Canada,top200,MOVE_UP,51172
Caroline,29,2017-01-01,Aminé,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,Canada,top200,MOVE_DOWN,50912
Treat You Better,30,2017-01-01,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Canada,top200,MOVE_UP,50567
Now and Later,31,2017-01-01,Sage The Gemini,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,Canada,top200,MOVE_DOWN,50460
Bounce Back,32,2017-01-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,Canada,top200,MOVE_DOWN,49868
This Is What You Came For (feat. Rihanna),33,2017-01-01,Calvin Harris,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,Canada,top200,MOVE_UP,49859
Heathens,34,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Canada,top200,MOVE_DOWN,49740
My Way,35,2017-01-01,Calvin Harris,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,Canada,top200,MOVE_DOWN,48453
