title,rank,date,artist,url,region,chart,trend,streams
Chantaje (feat. Maluma),1,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Mexico,top200,SAME_POSITION,395069
Reggaetón Lento (Bailemos),2,2017-01-01,CNCO,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,Mexico,top200,SAME_POSITION,336760
Vente Pa' Ca (feat. Maluma),3,2017-01-01,Ricky Martin,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,Mexico,top200,SAME_POSITION,300392
Safari,4,2017-01-01,"J Balvin, Pharrell Williams, BIA, Sky",https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,Mexico,top200,SAME_POSITION,283184
Otra vez (feat. J Balvin),5,2017-01-01,Zion & Lennox,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,Mexico,top200,SAME_POSITION,254484
La Bicicleta,6,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Mexico,top200,MOVE_UP,224828
Traicionera,7,2017-01-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Mexico,top200,MOVE_DOWN,224723
Closer,8,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Mexico,top200,MOVE_DOWN,195640
Shaky Shaky,9,2017-01-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Mexico,top200,MOVE_UP,192534
Starboy,10,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Mexico,top200,MOVE_DOWN,184402
Let Me Love You,11,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Mexico,top200,MOVE_DOWN,182918
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",12,2017-01-01,"IAmChino, El Chacal",https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,Mexico,top200,MOVE_DOWN,179480
24K Magic,13,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Mexico,top200,MOVE_UP,164003
Don't Wanna Know,14,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Mexico,top200,MOVE_DOWN,163050
Adiós Amor,15,2017-01-01,Christian Nodal,https://open.spotify.com/track/3OQXAp3uGQvkPi4DAMaM5p,Mexico,top200,MOVE_UP,152862
Rockabye (feat. Sean Paul & Anne-Marie),16,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Mexico,top200,MOVE_DOWN,149640
Me llamas (feat. Maluma) - Remix,17,2017-01-01,Piso 21,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,Mexico,top200,MOVE_DOWN,145553
DUELE EL CORAZON (feat. Wisin),18,2017-01-01,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Mexico,top200,MOVE_UP,144146
Borro Cassette,19,2017-01-01,Maluma,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Mexico,top200,SAME_POSITION,141380
Dile Que Tu Me Quieres,20,2017-01-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Mexico,top200,MOVE_DOWN,134333
Andas En Mi Cabeza,21,2017-01-01,"Chino & Nacho, Daddy Yankee",https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,Mexico,top200,MOVE_UP,131939
I Feel It Coming,22,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Mexico,top200,MOVE_DOWN,129725
Side To Side,23,2017-01-01,"Ariana Grande, Nicki Minaj",https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,Mexico,top200,MOVE_DOWN,128511
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",24,2017-01-01,Maluma,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,Mexico,top200,MOVE_DOWN,127845
